Time,MatchTime,LeadRPM,LeadAppliedOutput,LeadBusVoltage,LeadCurrent
36.659897,-1.000000,0.000000,0.000000,12.226562,0.000000
36.680026,-1.000000,0.000000,0.000000,12.226562,0.000000
36.700118,-1.000000,0.000000,0.000000,12.226562,0.000000
36.720112,-1.000000,0.000000,0.000000,12.234375,0.000000
36.739994,-1.000000,0.000000,0.000000,12.242188,0.000000
36.760157,-1.000000,0.000000,0.000000,12.242188,0.000000
36.779977,-1.000000,0.000000,0.000000,12.226562,0.000000
36.800258,-1.000000,0.000000,0.000000,12.226562,0.000000
36.819982,-1.000000,0.000000,0.000000,12.234375,0.000000
36.840140,-1.000000,0.000000,0.000000,12.234375,0.000000
36.860076,-1.000000,0.000000,0.000000,12.226562,0.000000
36.880010,-1.000000,0.000000,0.000000,12.242188,0.000000
36.900090,-1.000000,0.000000,0.000000,12.226562,0.000000
36.919915,-1.000000,0.000000,0.000000,12.234375,0.000000
36.939983,-1.000000,0.000000,0.000000,12.234375,0.000000
36.959928,-1.000000,0.000000,0.000000,12.242188,0.000000
36.979962,-1.000000,0.000000,0.000000,12.242188,0.000000
37.000248,-1.000000,0.000000,0.000000,12.234375,0.000000
37.020197,-1.000000,0.000000,0.000000,12.234375,0.000000
37.040050,-1.000000,0.000000,0.000000,12.242188,0.000000
37.060376,-1.000000,0.000000,0.000000,12.250000,0.000000
37.079875,-1.000000,0.000000,0.000000,12.234375,0.000000
37.100303,-1.000000,0.000000,0.000000,12.242188,0.000000
37.119998,-1.000000,0.000000,0.000000,12.242188,0.000000
37.139971,-1.000000,0.000000,0.000000,12.242188,0.000000
37.160176,-1.000000,0.000000,0.000000,12.250000,0.000000
37.180080,-1.000000,0.000000,0.000000,12.250000,0.000000
37.200093,-1.000000,0.000000,0.000000,12.234375,0.000000
37.219990,-1.000000,0.000000,0.000000,12.250000,0.000000
37.240086,-1.000000,0.000000,0.000000,12.242188,0.000000
37.259952,-1.000000,0.000000,0.000000,12.250000,0.000000
37.279939,-1.000000,0.000000,0.000000,12.250000,0.000000
37.300005,-1.000000,0.000000,0.000000,12.242188,0.000000
37.319922,-1.000000,0.000000,0.000000,12.226562,0.000000
37.339970,-1.000000,0.000000,0.000000,12.234375,0.000000
37.360022,-1.000000,0.000000,0.000000,12.234375,0.000000
37.380100,-1.000000,0.000000,0.000000,12.234375,0.000000
37.400027,-1.000000,0.000000,0.000000,12.250000,0.000000
37.420046,-1.000000,0.000000,0.000000,12.242188,0.000000
37.439939,-1.000000,0.000000,0.000000,12.257812,0.000000
37.459906,-1.000000,0.000000,0.000000,12.242188,0.000000
37.479947,-1.000000,0.000000,0.000000,12.242188,0.000000
37.500007,-1.000000,0.000000,0.000000,12.250000,0.000000
37.520065,-1.000000,0.000000,0.000000,12.242188,0.000000
37.539944,-1.000000,0.000000,0.000000,12.250000,0.000000
37.559958,-1.000000,0.000000,0.000000,12.250000,0.000000
37.579917,-1.000000,0.000000,0.000000,12.242188,0.000000
37.600132,-1.000000,0.000000,0.000000,12.234375,0.000000
37.620044,-1.000000,0.000000,0.000000,12.242188,0.000000
37.639933,-1.000000,0.000000,0.000000,12.234375,0.000000
37.659974,-1.000000,0.000000,0.000000,12.242188,0.000000
37.680104,-1.000000,0.000000,0.000000,12.242188,0.000000
37.700171,-1.000000,0.000000,0.000000,12.234375,0.000000
37.720135,-1.000000,0.000000,0.000000,12.242188,0.000000
37.739991,-1.000000,0.000000,0.000000,12.250000,0.000000
37.760092,-1.000000,0.000000,0.000000,12.242188,0.000000
37.780069,-1.000000,0.000000,0.000000,12.234375,0.000000
37.800235,-1.000000,0.000000,0.000000,12.242188,0.000000
37.819850,-1.000000,0.000000,0.000000,12.250000,0.000000
37.839853,-1.000000,0.000000,0.000000,12.242188,0.000000
37.859983,-1.000000,0.000000,0.000000,12.226562,0.000000
37.880153,-1.000000,0.000000,0.000000,12.242188,0.000000
37.899882,-1.000000,0.000000,0.000000,12.242188,0.000000
37.920030,-1.000000,0.000000,0.000000,12.242188,0.000000
37.939876,-1.000000,0.000000,0.000000,12.250000,0.000000
37.960094,-1.000000,0.000000,0.000000,12.250000,0.000000
37.980093,-1.000000,0.000000,0.000000,12.242188,0.000000
38.000279,-1.000000,0.000000,0.000000,12.234375,0.000000
38.019942,-1.000000,0.000000,0.000000,12.234375,0.000000
38.040107,-1.000000,0.000000,0.000000,12.234375,0.000000
38.059910,-1.000000,0.000000,0.000000,12.234375,0.000000
38.079924,-1.000000,0.000000,0.000000,12.226562,0.000000
38.100042,-1.000000,0.000000,0.000000,12.234375,0.000000
38.120056,-1.000000,0.000000,0.000000,12.242188,0.000000
