Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
9.680087,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.700125,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.720143,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.740084,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.760189,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.780097,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.800127,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.820112,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.840084,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.860051,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.880096,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.900122,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.920130,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.940056,1,1,7.315829,2.684171,3.479362,0.000000,-0.173968
9.960024,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
9.980142,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.000169,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.020085,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.040084,1,0,7.283159,2.716841,3.673599,0.000000,0.000000
10.060174,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.080134,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.100093,1,0,7.312115,2.687885,3.573120,0.000000,0.000000
10.120160,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.140075,1,0,7.283159,2.716841,3.673599,0.000000,0.000000
10.160102,1,0,7.283159,2.716841,3.673599,0.000000,0.000000
10.180157,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.200149,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.220085,1,0,7.283159,2.716841,3.673599,0.000000,0.000000
10.240061,1,0,7.283159,2.716841,3.673599,0.000000,0.000000
10.260289,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.280171,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.300131,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.320148,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.340076,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.360141,1,0,7.315829,2.684171,3.479362,0.000000,0.000000
10.380172,1,0,7.269822,2.730178,3.666122,0.000000,0.000000
10.400195,1,0,7.229836,2.770164,3.697479,0.000000,0.000000
10.420123,1,0,7.276489,2.723511,4.486046,0.000000,0.000000
10.440179,1,0,7.255631,2.744369,4.881805,0.000000,0.000000
10.460706,1,0,7.177734,2.822266,5.750481,0.000000,0.000000
10.480191,1,0,7.075107,2.924893,7.098717,0.000000,0.000000
10.500207,1,0,7.037728,2.962272,8.418732,0.000000,0.000000
10.520133,1,0,7.004721,2.995279,9.350845,0.000000,0.000000
10.540090,1,0,6.914551,3.085449,11.940567,0.000000,0.000000
10.560099,1,0,6.849039,3.150961,13.212830,0.000000,0.000000
10.580134,1,0,6.857703,3.142297,13.723709,0.000000,0.000000
10.600159,1,0,6.777140,3.222860,14.132111,0.000000,0.000000
10.620142,1,0,6.777140,3.222860,14.132111,0.000000,0.000000
10.640130,1,0,6.830172,3.169828,14.108170,0.000000,0.000000
10.660157,1,0,6.830174,3.169826,13.915108,0.000000,0.000000
10.680151,1,0,6.855072,3.144928,13.605675,0.000000,0.000000
10.700083,1,0,6.897273,3.102727,13.562698,0.000000,0.000000
10.720288,1,0,6.921267,3.078733,13.624062,0.000000,0.000000
10.740115,1,0,6.959636,3.040364,13.632484,0.000000,0.000000
10.760098,1,0,6.934463,3.065537,13.495087,0.000000,0.000000
10.780187,1,0,6.940639,3.059361,13.615639,0.000000,0.000000
10.800474,1,0,6.883337,3.116663,13.326958,0.000000,0.000000
10.820311,1,0,6.883337,3.116663,13.326958,0.000000,0.000000
10.840395,1,0,6.889722,3.110278,13.331879,0.000000,0.000000
10.860162,1,0,6.921267,3.078733,13.591606,0.000000,0.000000
10.880152,1,0,6.921267,3.078733,13.591606,0.000000,0.000000
10.900231,1,0,6.930412,3.069588,13.599419,0.000000,0.000000
10.920074,1,0,6.930412,3.069588,13.599419,0.000000,0.000000
10.940126,1,0,6.888499,3.111501,13.942467,0.000000,0.000000
10.960196,1,0,6.773567,3.226433,14.693535,0.000000,0.000000
10.980171,1,0,6.721212,3.278788,14.981361,0.000000,0.000000
11.000173,1,0,6.652597,3.347403,16.569092,0.000000,0.000000
11.020222,1,0,6.652597,3.347403,16.569092,0.000000,0.000000
11.040163,1,0,6.561536,3.438464,18.634773,0.000000,0.000000
11.060145,1,0,6.445145,3.554855,20.598030,0.000000,0.000000
11.080107,1,0,6.333814,3.666186,21.201057,0.000000,0.000000
11.100113,1,0,6.171396,3.828604,22.422020,0.000000,0.000000
11.120212,1,0,6.140710,3.859290,23.224274,0.000000,0.000000
11.140147,1,0,6.150645,3.849355,23.235649,0.000000,0.000000
11.160190,1,0,6.174052,3.825948,23.186615,0.000000,0.000000
11.180174,1,0,6.175675,3.824325,22.851364,0.000000,0.000000
11.200133,1,0,6.195103,3.804897,22.796982,0.000000,0.000000
11.220186,1,0,6.280752,3.719248,22.585915,0.000000,0.000000
11.240127,1,0,6.285195,3.714805,22.491234,0.000000,0.000000
11.260156,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.280177,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.300116,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.320609,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.340099,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.360151,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.380090,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.400059,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.420040,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.440133,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.460880,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.480094,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.500345,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.520222,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.540108,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.560136,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.580073,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.600117,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.620103,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.640105,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.660132,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.680084,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.700122,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.720118,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.740126,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.760128,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.780103,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.800115,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.820126,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.840172,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.860069,1,0,6.290799,3.709201,22.422020,0.000000,0.000000
11.880138,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.900053,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.920091,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.940155,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.960154,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
11.980134,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
12.000066,1,0,6.280752,3.719248,22.410858,0.000000,0.000000
12.020173,1,0,6.280752,3.719248,22.585915,0.000000,0.000000
12.040149,1,0,6.280752,3.719248,22.760529,0.000000,0.000000
12.060145,1,0,6.199724,3.800276,23.149979,0.000000,0.000000
12.080092,1,0,6.163789,3.836211,23.520172,0.000000,0.000000
12.100346,1,0,6.147726,3.852274,23.899467,0.000000,0.000000
12.120131,1,0,6.302422,3.697578,23.763969,0.000000,0.000000
12.140124,1,0,6.362546,3.637454,23.902512,0.000000,0.000000
12.160132,1,0,6.259593,3.740407,23.648888,0.000000,0.000000
12.180098,1,0,6.267885,3.732115,23.656044,0.000000,0.000000
12.200141,1,0,6.210250,3.789750,23.839920,0.000000,0.000000
12.220158,1,0,6.197220,3.802780,23.855637,0.000000,0.000000
12.240166,1,0,6.217075,3.782925,23.779198,0.000000,0.000000
12.260130,1,0,6.217075,3.782925,23.779198,0.000000,0.000000
12.280173,1,0,6.207267,3.792733,23.768539,0.000000,0.000000
12.300153,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.320165,1,0,6.173599,3.826401,23.862953,0.000000,0.000000
12.340107,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.360097,1,0,6.183800,3.816200,23.874779,0.000000,0.000000
12.380075,1,0,6.207267,3.792733,23.768539,0.000000,0.000000
12.400186,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.420215,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.440149,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.460070,1,0,6.200837,3.799163,23.761543,0.000000,0.000000
12.480668,1,0,6.197471,3.802529,23.757881,0.000000,0.000000
12.500143,1,0,6.200837,3.799163,23.761543,0.000000,0.000000
12.520101,1,0,6.168506,3.831494,23.857040,0.000000,0.000000
12.540112,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.560091,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.580104,1,0,6.193198,3.806802,23.818459,0.000000,0.000000
12.600098,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.620078,1,0,6.178696,3.821304,23.868874,0.000000,0.000000
12.640203,1,0,6.207267,3.792733,23.768539,0.000000,0.000000
