Time,Position,Error,Speed,Voltage
0.740229,-1.11042,-11,-142.083,-3.34091,
0.766559,-1.20208,-13,-140.833,-3.4846,
0.820875,-1.30278,2,-140,-2.90968,
0.858221,-1.39583,-27,-143.333,-3.86774,
0.879125,-1.44722,-18,-143.333,-3.54839,
0.914649,-1.55,-4,-146.25,-3.02639,
0.945637,-1.65208,-27,-149.583,-3.83578,
0.95794,-1.65208,-23,-149.583,-3.69501,
0.997865,-1.75625,0,-153.333,-2.88563,
1.02718,-1.85972,9,-155,-2.56891,
1.08481,-2.01042,-9,-153.75,-3.22903,
1.12054,-2.06111,5,-152.5,-2.73226,
1.16538,-2.21042,-17,-150.833,-3.58387,
1.19138,-2.26111,-9,-150.417,-3.0871,
1.23814,-2.36042,5,-150.417,-2.73226,
1.30142,-2.50833,-13,-148.75,-3.37097,
1.31485,-2.55903,-9,-148.75,-3.22903,
1.37171,-2.71111,16,-149.583,-2.34194,
1.4081,-2.81111,-11,-151.25,-3.3849,
1.48654,-3.01042,13,-150,-2.4585,
1.53471,-3.11042,-9,-149.167,-3.3,
1.55017,-3.16111,-1,-149.167,-3.01613,
1.64049,-3.35972,-10,-149.583,-3.26452,
1.6721,-3.46111,2,-149.583,-2.83871,
1.71415,-3.5625,-20,-150.417,-3.69032,
1.74207,-3.61181,-11,-150.833,-3.3,
1.75599,-3.66389,-6,-151.25,-3.20674,
1.78391,-3.76597,7,-152.083,-2.74355,
1.81723,-3.81528,15,-152.083,-2.4585,
1.86886,-3.96181,-7,-149.583,-3.22903,
1.8988,-4.0125,1,-148.75,-2.73226,
1.975,-4.2125,-10,-149.167,-3.33548,
1.98528,-4.26181,-7,-149.583,-3.22903,
0.005509,-4.31042,358,-149.167,3.16989,
0.007836,-4.35556,-4,-146.25,3.0871,
0.01266,-4.38264,351,-146.25,3.0871,
0.016488,-4.38264,351,-146.25,3.0871,
0.018567,-4.38264,351,-146.25,3.0871,
0.060085,-4.45208,82,-128.333,-1.38387,
0.062153,-4.45208,68,-128.333,-1.50215,
0.072406,-4.48958,-66,-117.917,-3.74946,
0.074505,-4.48958,-66,-117.917,-3.74946,
0.099519,-4.52847,-90,-111.25,-3.93871,
0.103502,-4.52847,-90,-111.25,-3.93871,
0.129834,-4.62639,-87,-111.667,-3.83226,
0.133621,-4.62639,-76,-111.667,-3.70215,
0.150266,-4.66806,-67,-118.75,-3.61935,
0.154476,-4.66806,-54,-118.75,-3.47742,
0.180673,-4.71181,-33,-127.5,-3.31183,
0.184148,-4.71181,-33,-127.5,-3.31183,
0.232981,-4.84722,-16,-134.167,-3.1085,
0.237676,-4.84722,-16,-134.167,-3.1085,
0.254414,-4.89514,-8,-134.167,-2.96774,
0.259761,-4.89514,-8,-134.167,-2.96774,
0.278996,-4.94097,-3,-134.583,-2.88563,
0.281949,-4.94097,-3,-134.583,-2.88563,
0.324286,-5.03611,12,-138.75,-2.73226,
0.32644,-5.03611,12,-138.75,-2.73226,
0.379499,-5.175,20,-140.417,-2.64946,
